"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp585","Mean temp Feb to April",1985,5.34595510514062
"Bottom","no","ssp585","Mean temp Feb to April",1986,6.38032856816872
"Bottom","no","ssp585","Mean temp Feb to April",1987,6.0284967555905
"Bottom","no","ssp585","Mean temp Feb to April",1988,5.42722670780386
"Bottom","no","ssp585","Mean temp Feb to April",1989,5.78039652183068
"Bottom","no","ssp585","Mean temp Feb to April",1990,5.4273436530325
"Bottom","no","ssp585","Mean temp Feb to April",1991,5.91776160599808
"Bottom","no","ssp585","Mean temp Feb to April",1992,5.53239996159239
"Bottom","no","ssp585","Mean temp Feb to April",1993,4.79216828415516
"Bottom","no","ssp585","Mean temp Feb to April",1994,5.61154532828448
"Bottom","no","ssp585","Mean temp Feb to April",1995,4.98960080547081
"Bottom","no","ssp585","Mean temp Feb to April",1996,4.93177304460901
"Bottom","no","ssp585","Mean temp Feb to April",1997,4.93114658108545
"Bottom","no","ssp585","Mean temp Feb to April",1998,6.50933576718037
"Bottom","no","ssp585","Mean temp Feb to April",1999,5.92398251071374
"Bottom","no","ssp585","Mean temp Feb to April",2000,6.71416842207287
"Bottom","no","ssp585","Mean temp Feb to April",2001,6.31254110659939
"Bottom","no","ssp585","Mean temp Feb to April",2002,6.83188772289563
"Bottom","no","ssp585","Mean temp Feb to April",2003,6.04041587013968
"Bottom","no","ssp585","Mean temp Feb to April",2004,6.78401408834347
"Bottom","no","ssp585","Mean temp Feb to April",2005,6.08957776988702
"Bottom","no","ssp585","Mean temp Feb to April",2006,6.12941846481713
"Bottom","no","ssp585","Mean temp Feb to April",2007,5.45281464581008
"Bottom","no","ssp585","Mean temp Feb to April",2008,4.89539342124005
"Bottom","no","ssp585","Mean temp Feb to April",2009,6.17012355012077
"Bottom","no","ssp585","Mean temp Feb to April",2010,6.23097845651923
"Bottom","no","ssp585","Mean temp Feb to April",2011,6.5484718572234
"Bottom","no","ssp585","Mean temp Feb to April",2012,6.606552343466
"Bottom","no","ssp585","Mean temp Feb to April",2013,6.3150184054251
"Bottom","no","ssp585","Mean temp Feb to April",2014,4.94480966313809
"Bottom","no","ssp585","Mean temp Feb to April",2015,5.02464070561009
"Bottom","no","ssp585","Mean temp Feb to April",2016,5.877670455543
"Bottom","no","ssp585","Mean temp Feb to April",2017,7.01376045108226
"Bottom","no","ssp585","Mean temp Feb to April",2018,6.34119403782179
"Bottom","no","ssp585","Mean temp Feb to April",2019,7.54611513660904
"Bottom","no","ssp585","Mean temp Feb to April",2020,5.66342402984325
"Bottom","no","ssp585","Mean temp Feb to April",2021,6.15025539869834
"Bottom","no","ssp585","Mean temp Feb to April",2022,6.91066563173772
"Bottom","no","ssp585","Mean temp Feb to April",2023,5.48417430177292
"Bottom","no","ssp585","Mean temp Feb to April",2024,4.73961131521381
"Bottom","no","ssp585","Mean temp Feb to April",2025,5.9799230495094
"Bottom","no","ssp585","Mean temp Feb to April",2026,6.99419623253083
"Bottom","no","ssp585","Mean temp Feb to April",2027,6.23358657727758
"Bottom","no","ssp585","Mean temp Feb to April",2028,7.28806160326713
"Bottom","no","ssp585","Mean temp Feb to April",2029,7.28604960094447
"Bottom","no","ssp585","Mean temp Feb to April",2030,6.86154768930391
"Bottom","no","ssp585","Mean temp Feb to April",2031,7.48188739242114
"Bottom","no","ssp585","Mean temp Feb to April",2032,7.68756695180038
"Bottom","no","ssp585","Mean temp Feb to April",2033,7.14829062704955
"Bottom","no","ssp585","Mean temp Feb to April",2034,6.02644517613962
"Bottom","no","ssp585","Mean temp Feb to April",2035,5.37807709172103
"Bottom","no","ssp585","Mean temp Feb to April",2036,6.931260116013
"Bottom","no","ssp585","Mean temp Feb to April",2037,7.70606021208809
"Bottom","no","ssp585","Mean temp Feb to April",2038,7.51963931673509
"Bottom","no","ssp585","Mean temp Feb to April",2039,7.05331278538281
"Bottom","no","ssp585","Mean temp Feb to April",2040,7.41930088572932
"Bottom","no","ssp585","Mean temp Feb to April",2041,6.38147769030296
"Bottom","no","ssp585","Mean temp Feb to April",2042,6.92897624724232
"Bottom","no","ssp585","Mean temp Feb to April",2043,7.98531697751811
"Bottom","no","ssp585","Mean temp Feb to April",2044,8.19970323191501
"Bottom","no","ssp585","Mean temp Feb to April",2045,7.52047258225908
"Bottom","no","ssp585","Mean temp Feb to April",2046,6.12471668426455
"Bottom","no","ssp585","Mean temp Feb to April",2047,5.79591526218379
"Bottom","no","ssp585","Mean temp Feb to April",2048,6.73873462463788
"Bottom","no","ssp585","Mean temp Feb to April",2049,8.22747270194651
"Bottom","no","ssp585","Mean temp Feb to April",2050,7.64177213929347
"Bottom","no","ssp585","Mean temp Feb to April",2051,7.32625526496027
"Bottom","no","ssp585","Mean temp Feb to April",2052,7.44519244944385
"Bottom","no","ssp585","Mean temp Feb to April",2053,7.82034473444864
"Bottom","no","ssp585","Mean temp Feb to April",2054,8.04695503726177
"Bottom","no","ssp585","Mean temp Feb to April",2055,8.1634905762358
"Bottom","no","ssp585","Mean temp Feb to April",2056,7.09585404299656
"Bottom","no","ssp585","Mean temp Feb to April",2057,7.86593015832553
"Bottom","no","ssp585","Mean temp Feb to April",2058,7.14566021702917
"Bottom","no","ssp585","Mean temp Feb to April",2059,8.22698879347256
"Bottom","no","ssp585","Mean temp Feb to April",2060,7.19610278380583
"Bottom","no","ssp585","Mean temp Feb to April",2061,8.98983523593941
"Bottom","no","ssp585","Mean temp Feb to April",2062,7.78206837275191
"Bottom","no","ssp585","Mean temp Feb to April",2063,6.94794521339489
"Bottom","no","ssp585","Mean temp Feb to April",2064,7.99484288434873
"Bottom","no","ssp585","Mean temp Feb to April",2065,9.01502522390166
"Bottom","no","ssp585","Mean temp Feb to April",2066,8.57034335195174
"Bottom","no","ssp585","Mean temp Feb to April",2067,9.28014218705455
"Bottom","no","ssp585","Mean temp Feb to April",2068,8.9289159491565
"Bottom","no","ssp585","Mean temp Feb to April",2069,8.1811664498685
"Bottom","no","ssp585","Mean temp Feb to April",2070,8.96768371832074
"Bottom","no","ssp585","Mean temp Feb to April",2071,8.58632207003046
"Bottom","no","ssp585","Mean temp Feb to April",2072,8.05290990808346
"Bottom","no","ssp585","Mean temp Feb to April",2073,9.24606700038765
"Bottom","no","ssp585","Mean temp Feb to April",2074,9.00131198897014
"Bottom","no","ssp585","Mean temp Feb to April",2075,9.2201747337977
"Bottom","no","ssp585","Mean temp Feb to April",2076,8.02187897188676
"Bottom","no","ssp585","Mean temp Feb to April",2077,8.27476158530927
"Bottom","no","ssp585","Mean temp Feb to April",2078,8.81431469338354
"Bottom","no","ssp585","Mean temp Feb to April",2079,8.85876603507929
"Bottom","no","ssp585","Mean temp Feb to April",2080,8.92654423273994
"Bottom","no","ssp585","Mean temp Feb to April",2081,9.17158488097353
"Bottom","no","ssp585","Mean temp Feb to April",2082,9.21453989086709
"Bottom","no","ssp585","Mean temp Feb to April",2083,8.86476808767285
"Bottom","no","ssp585","Mean temp Feb to April",2084,8.29218909384141
"Bottom","no","ssp585","Mean temp Feb to April",2085,8.38306631323026
"Bottom","no","ssp585","Mean temp Feb to April",2086,9.52344002748738
"Bottom","no","ssp585","Mean temp Feb to April",2087,9.55213331602602
"Bottom","no","ssp585","Mean temp Feb to April",2088,9.10882702962897
"Bottom","no","ssp585","Mean temp Feb to April",2089,9.90693415233908
"Bottom","no","ssp585","Mean temp Feb to April",2090,9.62817741303558
"Bottom","no","ssp585","Mean temp Feb to April",2091,10.1269847657783
"Bottom","no","ssp585","Mean temp Feb to April",2092,10.2300712716087
"Bottom","no","ssp585","Mean temp Feb to April",2093,10.1145574383031
"Bottom","no","ssp585","Mean temp Feb to April",2094,9.83527595519346
"Bottom","no","ssp585","Mean temp Feb to April",2095,8.74544217230743
"Bottom","no","ssp585","Mean temp Feb to April",2096,9.19786412335554
"Bottom","no","ssp585","Mean temp Feb to April",2097,7.02167852888702
"Bottom","no","ssp585","Mean temp Feb to April",2098,8.48201345563101
"Bottom","no","ssp585","Mean temp Feb to April",2099,10.3825838102888
"Bottom","yes","ssp585","Mean temp Feb to April",1980,5.50390013633227
"Bottom","yes","ssp585","Mean temp Feb to April",1981,5.65308284451592
"Bottom","yes","ssp585","Mean temp Feb to April",1982,6.77482815680262
"Bottom","yes","ssp585","Mean temp Feb to April",1983,6.63649412755868
"Bottom","yes","ssp585","Mean temp Feb to April",1984,6.17329163602262
"Bottom","yes","ssp585","Mean temp Feb to April",1985,5.34595510514062
"Bottom","yes","ssp585","Mean temp Feb to April",1986,6.38032856816872
"Bottom","yes","ssp585","Mean temp Feb to April",1987,6.0284967555905
"Bottom","yes","ssp585","Mean temp Feb to April",1988,5.42722670780386
"Bottom","yes","ssp585","Mean temp Feb to April",1989,5.78039652183068
"Bottom","yes","ssp585","Mean temp Feb to April",1990,5.4273436530325
"Bottom","yes","ssp585","Mean temp Feb to April",1991,5.91776160599808
"Bottom","yes","ssp585","Mean temp Feb to April",1992,5.53239996159239
"Bottom","yes","ssp585","Mean temp Feb to April",1993,4.79216828415516
"Bottom","yes","ssp585","Mean temp Feb to April",1994,5.61154532828448
"Bottom","yes","ssp585","Mean temp Feb to April",1995,4.98960080547081
"Bottom","yes","ssp585","Mean temp Feb to April",1996,4.93177304460901
"Bottom","yes","ssp585","Mean temp Feb to April",1997,4.93114658108545
"Bottom","yes","ssp585","Mean temp Feb to April",1998,6.50933576718037
"Bottom","yes","ssp585","Mean temp Feb to April",1999,5.92398251071374
"Bottom","yes","ssp585","Mean temp Feb to April",2000,5.4451557111759
"Bottom","yes","ssp585","Mean temp Feb to April",2001,5.81024940151786
"Bottom","yes","ssp585","Mean temp Feb to April",2002,5.36868483615478
"Bottom","yes","ssp585","Mean temp Feb to April",2003,6.02541803148355
"Bottom","yes","ssp585","Mean temp Feb to April",2004,5.67596360337637
"Bottom","yes","ssp585","Mean temp Feb to April",2005,6.0896056944239
"Bottom","yes","ssp585","Mean temp Feb to April",2006,6.03795819455808
"Bottom","yes","ssp585","Mean temp Feb to April",2007,5.34666789750723
"Bottom","yes","ssp585","Mean temp Feb to April",2008,6.13601182660282
"Bottom","yes","ssp585","Mean temp Feb to April",2009,6.08884772519743
"Bottom","yes","ssp585","Mean temp Feb to April",2010,7.09417166223666
