"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","yes","ssp126","Mean temp Feb to April",2013,6.97119042275964
"Bottom","yes","ssp126","Mean temp Feb to April",2014,7.6492192881905
"Bottom","yes","ssp126","Mean temp Feb to April",2015,7.76877515975975
"Bottom","yes","ssp126","Mean temp Feb to April",2016,8.25683288505031
"Bottom","yes","ssp126","Mean temp Feb to April",2017,7.60538255695194
"Bottom","yes","ssp126","Mean temp Feb to April",2018,7.46014040066973
"Bottom","yes","ssp126","Mean temp Feb to April",2019,8.08338960896889
"Bottom","yes","ssp126","Mean temp Feb to April",2020,7.35356771539685
"Bottom","yes","ssp126","Mean temp Feb to April",2021,7.6523855090463
"Bottom","yes","ssp126","Mean temp Feb to April",2022,6.24144207272648
"Bottom","yes","ssp126","Mean temp Feb to April",2023,5.81164969505041
"Bottom","yes","ssp126","Mean temp Feb to April",2024,6.35248445219797
"Bottom","yes","ssp126","Mean temp Feb to April",2025,6.60254334847474
"Bottom","yes","ssp126","Mean temp Feb to April",2026,7.91021429612884
"Bottom","yes","ssp126","Mean temp Feb to April",2027,7.56956396917977
"Bottom","yes","ssp126","Mean temp Feb to April",2028,6.92690254061427
"Bottom","yes","ssp126","Mean temp Feb to April",2029,7.89617238958036
"Bottom","yes","ssp126","Mean temp Feb to April",2030,8.11975859622115
"Bottom","yes","ssp126","Mean temp Feb to April",2031,8.14875580311497
"Bottom","yes","ssp126","Mean temp Feb to April",2032,6.92821974273031
"Bottom","yes","ssp126","Mean temp Feb to April",2033,7.42793368359803
"Bottom","yes","ssp126","Mean temp Feb to April",2034,7.13232934233846
"Bottom","yes","ssp126","Mean temp Feb to April",2035,7.36757626268441
"Bottom","yes","ssp126","Mean temp Feb to April",2036,7.03461855940973
"Bottom","yes","ssp126","Mean temp Feb to April",2037,7.55303669006798
"Bottom","yes","ssp126","Mean temp Feb to April",2038,7.65136950130388
"Bottom","yes","ssp126","Mean temp Feb to April",2039,7.78230699821699
"Bottom","yes","ssp126","Mean temp Feb to April",2040,7.00865965468079
"Bottom","yes","ssp126","Mean temp Feb to April",2041,7.92657823147629
"Bottom","yes","ssp126","Mean temp Feb to April",2042,8.50506713283137
"Bottom","yes","ssp126","Mean temp Feb to April",2043,8.15401071800828
"Bottom","yes","ssp126","Mean temp Feb to April",2044,6.64116498369649
"Bottom","yes","ssp126","Mean temp Feb to April",2045,7.81520595143184
"Bottom","yes","ssp126","Mean temp Feb to April",2046,8.26438082694611
"Bottom","yes","ssp126","Mean temp Feb to April",2047,8.0622110979374
"Bottom","yes","ssp126","Mean temp Feb to April",2048,7.49823189340167
"Bottom","yes","ssp126","Mean temp Feb to April",2049,7.82115784086493
"Bottom","yes","ssp126","Mean temp Feb to April",2050,7.83294087253475
"Bottom","yes","ssp126","Mean temp Feb to April",2051,7.27441924206577
"Bottom","yes","ssp126","Mean temp Feb to April",2052,8.37309036058722
"Bottom","yes","ssp126","Mean temp Feb to April",2053,7.54160941756488
"Bottom","yes","ssp126","Mean temp Feb to April",2054,7.59051161056811
"Bottom","yes","ssp126","Mean temp Feb to April",2055,8.13907863971171
"Bottom","yes","ssp126","Mean temp Feb to April",2056,8.17437420799273
